repetition,algorithm,mae
1,random_forest,0.09396329937610863
1,support_vector_machine,0.10615533824332593
1,linear_models,0.13352823179031434
1,xgboost,0.11878499446247277
1,decision_tree,0.11331055652992124
2,random_forest,0.09538757868218654
2,support_vector_machine,0.10716875620594886
2,linear_models,0.1301841143784107
2,xgboost,0.11844630604750733
2,decision_tree,0.11142563801202368
3,random_forest,0.09629826877689546
3,support_vector_machine,0.1080054071801405
3,linear_models,0.13232455527931042
3,xgboost,0.12178157711432652
3,decision_tree,0.11350184315709734
4,random_forest,0.0945281422133125
4,support_vector_machine,0.1057078951214573
4,linear_models,0.12702594188105557
4,xgboost,0.11760297034741957
4,decision_tree,0.1118292799596107
5,random_forest,0.09354143744255793
5,support_vector_machine,0.10332755658962088
5,linear_models,0.12485724396883902
5,xgboost,0.11723891902389537
5,decision_tree,0.11018593925556672
6,random_forest,0.09399032913986585
6,support_vector_machine,0.10657481387575558
6,linear_models,0.13045830350534643
6,xgboost,0.11860137280453335
6,decision_tree,0.11111962227790154
7,random_forest,0.0942312109402162
7,support_vector_machine,0.10707771935523838
7,linear_models,0.13259715131200908
7,xgboost,0.11839494156991283
7,decision_tree,0.11037632432847265
8,random_forest,0.09363190526024406
8,support_vector_machine,0.1054533158203626
8,linear_models,0.128709598287031
8,xgboost,0.11683520101105549
8,decision_tree,0.11162870874675826
9,random_forest,0.09553812188463093
9,support_vector_machine,0.1077600612771034
9,linear_models,0.13211423861800153
9,xgboost,0.12146870093783634
9,decision_tree,0.11166416195939098
10,random_forest,0.09617739147780252
10,support_vector_machine,0.10724210310321432
10,linear_models,0.13234033058306952
10,xgboost,0.11888344149991141
10,decision_tree,0.11230009420423992
