repetition,mae,mse,r2
1,0.05822329215381715,0.008841172587640164,0.6788131665859928
2,0.05711418370593106,0.008858864869186727,0.6772648969387248
3,0.057314636365373484,0.0089616125164196,0.6776776973289735
4,0.056764029107082295,0.008855348253251228,0.6769333693293117
5,0.058906241795436756,0.009115015876363656,0.6702877715034319
6,0.05709299253483162,0.008827853194948183,0.6781474466773174
7,0.05739834981985052,0.009019830688464028,0.6737455964617615
8,0.05691235087226495,0.00905900018680378,0.6753495742523017
9,0.0588760966543735,0.009319276136613026,0.6661759558320268
10,0.05762656400124648,0.008829066474781202,0.6811928450436021
