repetition,algorithm,mae
1,random_forest,0.03885137614820388
1,support_vector_machine,0.04581534461537161
1,linear_models,0.08541484221702919
1,xgboost,0.08477970416672956
1,decision_tree,0.03625071379727633
2,random_forest,0.03960578142079571
2,support_vector_machine,0.046448819484815974
2,linear_models,0.08959887033509324
2,xgboost,0.08256389041477419
2,decision_tree,0.03247035171131656
3,random_forest,0.03825692427469866
3,support_vector_machine,0.046002512486432015
3,linear_models,0.08553408671848578
3,xgboost,0.08260830105726089
3,decision_tree,0.03562121192310812
4,random_forest,0.03860658564415978
4,support_vector_machine,0.04536977270315389
4,linear_models,0.08991501052817179
4,xgboost,0.08015943942675571
4,decision_tree,0.03315174153828845
5,random_forest,0.03939259333103256
5,support_vector_machine,0.047382625774840655
5,linear_models,0.09231727707592105
5,xgboost,0.08243378727635253
5,decision_tree,0.033726426211308044
6,random_forest,0.0378220718250155
6,support_vector_machine,0.04567116655925605
6,linear_models,0.08813026435325354
6,xgboost,0.08410637563201329
6,decision_tree,0.031349426222053174
7,random_forest,0.037401341865208416
7,support_vector_machine,0.045241274301072665
7,linear_models,0.08623320980779783
7,xgboost,0.08015868850077006
7,decision_tree,0.03209608506275553
8,random_forest,0.03727058538625223
8,support_vector_machine,0.045246530673133244
8,linear_models,0.08808432205706308
8,xgboost,0.08366141823328024
8,decision_tree,0.03141035249251743
9,random_forest,0.038173029287935006
9,support_vector_machine,0.046056060424927964
9,linear_models,0.08648459071744112
9,xgboost,0.08711246227364075
9,decision_tree,0.034739713197460914
10,random_forest,0.038825801847187785
10,support_vector_machine,0.046160865457271306
10,linear_models,0.08856910899336308
10,xgboost,0.0803411588494587
10,decision_tree,0.03467166132664704
