run_id,task_id,setup_id,flow_id,uploader,task_type,upload_time,error_message
2570045,9980,618758,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 14:12:06,
2609133,9980,657110,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 19:23:59,
10199976,9980,8125408,9666,1,TaskType.SUPERVISED_CLASSIFICATION,2019-04-17 23:02:46,
2604326,9980,652429,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 18:39:05,
2602860,9980,650993,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 18:25:58,
6899729,9980,4931627,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-09-02 13:09:14,
6900465,9980,4932363,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-09-02 13:18:08,
2621682,9980,669347,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 21:33:07,
2617798,9980,665555,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 20:53:31,
2580798,9980,629363,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 15:22:30,
2629739,9980,677193,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 22:55:17,
2630749,9980,678168,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 23:07:55,
2630245,9980,677681,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 23:02:04,
2630708,9980,678129,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 23:07:35,
2617229,9980,665000,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 20:47:29,
2609826,9980,657781,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 19:31:07,
1972958,9980,128527,5971,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-04-03 20:56:37,
2609408,9980,657375,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 19:26:56,
2591409,9980,639753,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 16:45:15,
1980936,9980,134521,5971,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-04-04 13:27:34,
9946204,9980,7874120,8890,6892,TaskType.SUPERVISED_CLASSIFICATION,2019-01-08 12:14:40,
2587020,9980,635489,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 16:07:05,
2617050,9980,664825,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 20:45:30,
2601173,9980,649340,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 18:11:09,
2593783,9980,642083,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 17:05:57,
1980889,9980,134474,5971,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-04-04 13:27:07,
10213058,9980,8138490,9666,1,TaskType.SUPERVISED_CLASSIFICATION,2019-04-18 01:13:22,
9872401,9980,7801803,8834,6892,TaskType.SUPERVISED_CLASSIFICATION,2018-12-07 06:05:51,
2590911,9980,639263,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 16:40:59,
10205401,9980,8130833,9666,1,TaskType.SUPERVISED_CLASSIFICATION,2019-04-17 23:33:17,
2589875,9980,638285,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 16:32:05,
2589997,9980,638403,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 16:33:06,
2619654,9980,667366,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 21:12:33,
2614791,9980,662631,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 20:22:41,
2616908,9980,664686,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 20:44:00,
2575122,9980,623762,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 14:44:25,
9967783,9980,7895694,8890,6892,TaskType.SUPERVISED_CLASSIFICATION,2019-01-14 08:04:18,
2581031,9980,629593,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 15:24:03,
2569260,9980,617981,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 14:07:10,
2607187,9980,655220,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 19:05:47,
2576634,9980,625251,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 14:54:41,
2622932,9980,670572,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 21:45:41,
6897083,9980,4928981,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-09-02 12:42:53,
6896519,9980,4928417,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-09-02 12:37:33,
2575177,9980,623816,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 14:44:40,
2629269,9980,676736,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 22:50:19,
2626063,9980,673634,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 22:17:48,
2613880,9980,661738,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 20:13:16,
2588644,9980,637080,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 16:21:05,
2601784,9980,649939,6767,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 18:16:31,
