run_id,task_id,setup_id,flow_id,uploader,task_type,upload_time,error_message
8502082,14966,6509950,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-11-08 11:44:37,
8666311,14966,6633797,7609,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-12-22 21:55:10,
8651393,14966,6633869,7609,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-12-14 16:38:09,
8003679,14966,6034070,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-10-17 16:52:52,
8675904,14966,6656270,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-12-24 20:35:03,
5990782,14966,4025515,6969,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-17 11:43:55,
8075902,14966,6106292,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-10-18 04:42:16,
5996106,14966,4030839,6969,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-17 14:27:13,
8788814,14966,6764060,7609,2702,TaskType.SUPERVISED_CLASSIFICATION,2018-01-12 13:10:44,
8781249,14966,6756566,7609,2702,TaskType.SUPERVISED_CLASSIFICATION,2018-01-08 04:26:22,
8168460,14966,6198823,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-10-19 02:56:49,
8530838,14966,6519740,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-11-16 05:39:20,
6026693,14966,4061378,6969,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-20 11:14:35,
8756130,14966,6732158,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-12-30 19:22:39,
5975658,14966,4010391,6969,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-16 18:52:32,
8626315,14966,6609285,7607,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-12-08 11:48:12,
8007357,14966,6037748,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-10-17 17:30:28,
8533994,14966,6522893,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-11-16 12:10:07,
8263189,14966,6293122,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-10-27 02:17:31,
8104863,14966,6135253,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-10-18 09:05:21,
8237442,14966,6267758,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-10-25 02:21:10,
8600420,14966,6588185,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-11-30 22:06:59,
8215980,14966,6246310,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-10-23 22:07:54,
8505198,14966,6513066,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-11-08 17:10:14,
10018682,14966,7943403,8918,6892,TaskType.SUPERVISED_CLASSIFICATION,2019-01-18 11:09:03,
8800663,14966,6775902,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2018-01-20 12:39:34,
8618742,14966,6604656,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-12-05 23:21:49,
8154305,14966,6184668,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-10-18 19:48:31,
10022862,14966,7947583,8918,6892,TaskType.SUPERVISED_CLASSIFICATION,2019-01-18 13:58:15,
8757131,14966,6733056,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-12-31 00:30:13,
8759402,14966,6735043,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-12-31 03:51:47,
9379577,14966,7308963,8795,1,TaskType.SUPERVISED_CLASSIFICATION,2018-10-10 08:02:17,
8017833,14966,6048224,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-10-17 19:17:37,
8762036,14966,6737592,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-12-31 07:50:38,
8784034,14966,6759351,7609,2702,TaskType.SUPERVISED_CLASSIFICATION,2018-01-10 07:51:08,
8505147,14966,6513015,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-11-08 16:55:49,
8495782,14966,6505786,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-11-07 09:31:36,
5966768,14966,4001502,6969,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-16 02:17:13,
8003601,14966,6033992,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-10-17 16:50:35,
5991322,14966,4026055,6969,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-17 11:56:07,
8003451,14966,6033842,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-10-17 16:48:07,
8753494,14966,6729625,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-12-30 14:08:13,
8250780,14966,6281071,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-10-25 22:45:24,
8753311,14966,6729444,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-12-30 13:46:41,
8233730,14966,6264046,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-10-24 21:11:27,
5990461,14966,4025194,6969,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-17 11:36:25,
10019887,14966,7944608,8918,6892,TaskType.SUPERVISED_CLASSIFICATION,2019-01-18 11:59:37,
8792939,14966,6768185,7609,2702,TaskType.SUPERVISED_CLASSIFICATION,2018-01-17 03:14:31,
8487857,14966,6497874,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-11-06 18:19:37,
7965322,14966,5995740,5965,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-10-17 11:20:04,
