,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
182,1.706633,-1.7615732,1.0595667,1.8633506,0.84503114,0.6718296,0.13760659,0.6154395,-1.6545204,0.59503275,0.810514,-1.6198295,-0.65212363,0.8959376,-0.89258206,1.0571347,-0.1301997,1.2447108,0.34479457,-0.051116996,1.3083587,2.3231802,-0.49261016,0.32210717,-0.287975,1.629088,-1.2646728,0.49527574,1.9727854,1.9431782,1.5255239,-1.6850874
6,1.6272504,-1.4404231,0.661438,1.9821469,0.45567933,1.1293237,-0.33369276,-0.3390514,-1.8372662,1.0261778,-0.10199791,-2.0782833,-0.6743182,0.48452216,-1.0850356,1.0711511,-0.6528596,1.7607257,0.105142795,0.5574914,1.5322404,2.5160184,-0.749218,-0.3592768,-0.6144098,2.3536592,-1.8218927,1.5407869,2.310918,1.4644339,2.0681276,-1.590451
54,1.7268873,-1.70359,0.9511455,1.9242884,0.7820916,0.8110841,-0.007377541,0.36485332,-1.7504135,0.7397017,0.5751866,-1.77298,-0.6548273,0.80554706,-0.97413236,1.0655122,-0.29795814,1.4234222,0.30072007,0.15084031,1.4209428,2.4133549,-0.5585681,0.12876222,-0.4110313,1.8626446,-1.4279283,0.81808823,2.1083493,1.8559129,1.7082742,-1.6810411
40668,1.7157252,-1.4454926,0.60609055,2.135655,0.42106968,1.304951,-0.48247194,-0.58150613,-1.9718965,1.154958,-0.33032817,-2.335503,-0.716966,0.42260614,-1.236562,1.1460752,-0.85581493,2.0138946,0.088643156,0.7597735,1.6848927,2.7029233,-0.7952813,-0.55286056,-0.7392787,2.6934905,-2.107244,1.9563704,2.5662377,1.4988775,2.3328462,-1.708204
46,1.8874251,-1.6736729,0.73311263,2.1640844,0.7238963,1.1844511,-0.36332124,-0.18109176,-2.1012454,1.1255664,0.093973465,-2.2069974,-0.6726234,0.67139447,-1.2334384,1.1366638,-0.70436513,1.9281988,0.2482291,0.6353943,1.802943,2.7669232,-0.7367827,-0.2613012,-0.7400806,2.5110707,-1.8683422,1.6167837,2.5594656,1.7757162,2.2243078,-1.78425
554,1.7058271,-1.4275912,0.5939437,2.13945,0.38651162,1.3297235,-0.5010594,-0.6337118,-1.9816841,1.1738385,-0.3721911,-2.3588333,-0.7172938,0.39979944,-1.2366799,1.1446283,-0.86986274,2.0267513,0.07825742,0.7719368,1.6828142,2.7361352,-0.8174871,-0.5767615,-0.7429021,2.7218366,-2.1442323,1.9882734,2.5775108,1.4695673,2.3524,-1.7092369
3,2.83075,-1.9707628,0.066928536,3.0773544,1.0841343,2.3040469,-1.5471733,-1.5047925,-3.7203383,2.550748,-0.90522003,-3.471445,-0.6123355,0.66854435,-2.178901,1.30278,-1.9461142,3.5877757,0.38521177,2.280736,3.4411151,4.246639,-1.3312867,-1.2210199,-1.9429144,4.531279,-2.9092953,3.9228985,4.1795974,1.9489511,3.9282913,-2.221269
44,2.4407806,-1.6766104,0.12610297,2.8323119,0.6721251,2.1800938,-1.3597955,-1.6014439,-3.2121067,2.256221,-1.1409177,-3.3869102,-0.6785436,0.37129998,-1.9434526,1.2563792,-1.8447626,3.3044887,0.18969932,2.0366752,2.9126287,3.90626,-1.2195323,-1.3729699,-1.6975794,4.251932,-2.9922621,3.7563643,3.809835,1.6455275,3.643919,-2.0494342
50,3.5069737,-2.6524587,0.33212203,3.619007,1.7792301,2.254036,-1.4926982,-0.7408737,-4.297231,2.7355118,0.01911698,-3.2956905,-0.78591776,1.3491547,-2.2969356,1.5038507,-1.5378758,3.5409522,0.65346926,2.179885,4.0140185,4.889959,-1.5327523,-0.46125633,-2.0909376,4.614703,-2.5101268,3.2675433,4.4887323,2.6739368,4.114505,-2.7243617
151,3.01495,-2.0193124,-0.078629635,3.1963358,1.1924913,2.4611754,-1.7731323,-1.7102709,-4.0442457,2.8383355,-1.0396734,-3.6290855,-0.5535686,0.68610394,-2.3088577,1.2716495,-2.16085,3.8463407,0.43916717,2.6049836,3.744411,4.4987035,-1.4350798,-1.4123242,-2.1765988,4.8098226,-2.9882708,4.2677937,4.400477,1.9556878,4.1881685,-2.2239478
1501,1.7605498,-1.7982757,1.0777026,1.9520142,0.84907675,0.7504295,0.09942235,0.54812616,-1.723469,0.6353282,0.75553143,-1.7621009,-0.674182,0.8893424,-0.97150385,1.1119876,-0.20534822,1.3644763,0.35411024,-0.0007908855,1.3841268,2.4304519,-0.50676006,0.27526662,-0.32575,1.7808119,-1.4175996,0.6573048,2.111773,2.006929,1.6421549,-1.7754387
1461,2.390698,-1.6930141,0.17330998,2.7336154,0.7273611,2.0410194,-1.2521455,-1.3938812,-3.1111486,2.1414826,-0.9425807,-3.1844409,-0.6530951,0.4442173,-1.8571472,1.227354,-1.6912959,3.1318073,0.21080141,1.8769696,2.8238018,3.728695,-1.1789324,-1.185856,-1.5971715,4.0171976,-2.7671616,3.4608765,3.6427097,1.6509994,3.4512646,-1.9834477
1475,1.7015263,-1.4303979,0.5996106,2.1304307,0.3948881,1.3153453,-0.48827237,-0.60973585,-1.9672406,1.1569141,-0.35323948,-2.340329,-0.7171557,0.40680608,-1.2310236,1.145374,-0.8569105,2.0132523,0.079905614,0.75455767,1.6732429,2.7114403,-0.8077639,-0.55798286,-0.732664,2.7010512,-2.1249976,1.9643914,2.5647402,1.4751256,2.3339772,-1.706721
37,3.4275799,-2.364445,-0.08510951,3.5184002,1.5810102,2.5292041,-1.9137928,-1.4864452,-4.522841,3.1064644,-0.6910875,-3.6266282,-0.58952725,1.0388497,-2.4598033,1.3360285,-2.0944517,3.959743,0.6018755,2.7971277,4.208745,4.9658217,-1.5954303,-1.1549785,-2.3868108,5.0272145,-2.8143678,4.184199,4.677516,2.2842727,4.447619,-2.460272
6332,2.5718875,-1.7587674,0.0752538,2.9173577,0.80563545,2.2454658,-1.4529326,-1.6165699,-3.3990936,2.3872573,-1.1085045,-3.4333243,-0.65141565,0.450445,-2.0372882,1.266906,-1.9157438,3.436383,0.24351093,2.1646407,3.1171596,4.013121,-1.2701628,-1.3634201,-1.8086103,4.38421,-2.977,3.8753998,3.9540782,1.720047,3.7689776,-2.0879676
23,2.0263553,-1.8276058,0.81884336,2.2682016,0.87571,1.2032969,-0.33713707,-0.04201897,-2.2213166,1.1209332,0.2607853,-2.2697458,-0.6821891,0.79968655,-1.316512,1.2059062,-0.68771225,2.0003967,0.34155858,0.5852629,1.9251621,2.9026153,-0.71955436,-0.11582385,-0.7550094,2.5777147,-1.913604,1.6016834,2.7096505,1.9909732,2.2788768,-1.9475384
40966,1.6025879,-1.4790657,0.72613674,1.8976139,0.5338895,0.98728263,-0.21461725,-0.10595466,-1.7538437,0.9229816,0.11000545,-1.8986366,-0.6521047,0.5660745,-0.9992139,1.0349364,-0.5078015,1.5924891,0.13732958,0.41560572,1.4514387,2.3749468,-0.690924,-0.2008299,-0.53483564,2.1148334,-1.6027437,1.2405789,2.1496742,1.5064406,1.886433,-1.5310305
22,1.6221511,-1.4495912,0.6820227,1.9700199,0.46724588,1.0979576,-0.3062747,-0.28974763,-1.8158401,1.002213,-0.059180625,-2.0476747,-0.6744679,0.50039476,-1.0676581,1.065986,-0.62270415,1.7231258,0.11046021,0.5291098,1.5103915,2.4909487,-0.73486805,-0.33392304,-0.5952541,2.3049438,-1.782327,1.4789339,2.2760205,1.4782594,2.0328293,-1.5801947
4134,2.5813031,-1.7578785,0.066368654,2.9209476,0.8069769,2.2523875,-1.4661713,-1.6321129,-3.4183476,2.409472,-1.1218878,-3.4438882,-0.6462471,0.4470547,-2.038228,1.2572447,-1.9300635,3.4458904,0.24571101,2.1911805,3.1292071,4.0348854,-1.274811,-1.3903835,-1.826257,4.393563,-2.9799309,3.89231,3.957075,1.7154478,3.7829456,-2.0792685
1489,3.945085,-2.8013453,0.07569862,4.063527,1.9843632,2.7192636,-1.9919443,-1.2362185,-5.013781,3.402259,-0.3316932,-3.8076262,-0.79036945,1.3211582,-2.6418571,1.5622523,-2.0273633,4.232604,0.6806756,2.8955905,4.763651,5.5208406,-1.8591263,-0.87542,-2.6413925,5.454936,-2.8745537,4.128036,5.1337137,2.7205734,4.829561,-2.8583941
1462,3.8992991,-2.933906,0.4001953,4.0599375,2.0390656,2.5101902,-1.6400526,-0.7469979,-4.7293444,3.0546765,0.10468511,-3.60146,-0.91487235,1.4622529,-2.5003002,1.6948093,-1.646013,3.9334195,0.6830953,2.3785064,4.520369,5.3259254,-1.7604074,-0.419311,-2.3677964,5.115257,-2.73564,3.5125802,4.950012,2.9342933,4.531021,-3.01329
1067,2.3027618,-1.6313775,0.20055099,2.6689467,0.63590914,1.9985307,-1.1969283,-1.3954393,-2.992618,2.0617046,-0.96950114,-3.1473184,-0.66224915,0.38865378,-1.7883403,1.2135831,-1.646074,3.0445752,0.1768273,1.7936661,2.6875625,3.658636,-1.1493362,-1.1982733,-1.5253798,3.9235542,-2.7734826,3.3807454,3.5401218,1.5895294,3.3659928,-1.9488968
1063,2.3462603,-1.6445811,0.17122652,2.7141712,0.6503325,2.0537095,-1.2504115,-1.4595848,-3.0663152,2.1275775,-1.0213675,-3.2149005,-0.6620943,0.38470918,-1.833855,1.2209381,-1.7078075,3.1237,0.18249735,1.8729746,2.7608888,3.7350674,-1.1735013,-1.2517451,-1.5825777,4.0209074,-2.831435,3.4938183,3.619699,1.6012554,3.4492557,-1.9728388
23381,2.4994378,-1.7204044,0.112177834,2.8723025,0.7387377,2.2030454,-1.3921094,-1.5903056,-3.289217,2.304235,-1.1103426,-3.4030964,-0.66959226,0.4137031,-1.9868231,1.2664256,-1.8677967,3.358144,0.21542105,2.081681,3.002606,3.9444878,-1.2383115,-1.3523563,-1.7397957,4.304749,-2.9791882,3.796203,3.8737946,1.6895088,3.692843,-2.071926
31,2.7669919,-1.9253,0.067653574,3.0205328,1.0374662,2.269547,-1.5149155,-1.4991486,-3.6440701,2.5087712,-0.91782314,-3.4264534,-0.60791194,0.63289833,-2.1320949,1.2809281,-1.9186096,3.528497,0.3597116,2.2404623,3.3646712,4.1673536,-1.3153887,-1.2272158,-1.9056146,4.457322,-2.8761628,3.864732,4.099416,1.8913546,3.861916,-2.1686985
40975,1.8176811,-1.7566112,0.9446076,2.0285113,0.8098873,0.9094294,-0.07928233,0.27835464,-1.8824917,0.8330334,0.5144855,-1.9230859,-0.6656493,0.8139863,-1.064656,1.1096436,-0.39301342,1.5715582,0.3219287,0.2491391,1.5488201,2.5729854,-0.59669113,0.0687328,-0.49072433,2.0469244,-1.5720302,1.0078582,2.2721634,1.9199457,1.8587749,-1.7690706
469,1.6836249,-1.4597651,0.65131474,2.080353,0.44543284,1.2267135,-0.40297118,-0.45401424,-1.9111845,1.086685,-0.20894456,-2.2325706,-0.70443827,0.46073455,-1.1765584,1.1293647,-0.75744146,1.9072622,0.0993401,0.6505404,1.6213176,2.6205661,-0.7712135,-0.44631386,-0.6753348,2.54718,-1.9923483,1.7644832,2.4659743,1.5069191,2.2176375,-1.6760798
18,1.6374753,-1.4458373,0.67026687,2.0098698,0.44751024,1.1470802,-0.34251812,-0.3596248,-1.8460791,1.034512,-0.12212755,-2.1181977,-0.6868454,0.47942838,-1.1035793,1.0854778,-0.67094517,1.7839077,0.102839485,0.5753323,1.5425341,2.5462751,-0.75103116,-0.38384825,-0.62155974,2.391677,-1.8642893,1.5815939,2.3403707,1.4811413,2.100936,-1.612448
1510,3.4782727,-2.3692434,-0.13878565,3.551204,1.6072989,2.5811877,-1.9864467,-1.5565252,-4.617118,3.2004056,-0.74331176,-3.6710339,-0.5752,1.0314829,-2.4899879,1.3236251,-2.1590652,4.037938,0.60924065,2.901671,4.301751,5.038575,-1.6336359,-1.2158587,-2.4682517,5.1152005,-2.8390346,4.2906294,4.7369194,2.265971,4.524447,-2.4552789
32,1.7906578,-1.8380255,1.104656,1.959047,0.89951324,0.73217404,0.12252425,0.6164842,-1.7408562,0.61866236,0.8271452,-1.7469355,-0.6693605,0.92995846,-0.974506,1.115972,-0.18154138,1.3535397,0.38537157,-0.033001814,1.397764,2.4471707,-0.49014658,0.32901135,-0.3187952,1.75446,-1.3937808,0.6056342,2.1203613,2.0642955,1.6236302,-1.8035994
4534,3.392933,-2.6279616,0.46353555,3.5674057,1.6901764,2.1976442,-1.3456397,-0.6611885,-4.087439,2.526977,0.054314435,-3.3040986,-0.8242575,1.3140075,-2.271824,1.5768659,-1.4638418,3.4699788,0.62780344,1.9508126,3.8316963,4.7288136,-1.4414551,-0.3645631,-1.9297607,4.5210824,-2.6050615,3.181995,4.4375877,2.713903,3.9934757,-2.783608
1464,2.6102319,-1.7928326,0.04803487,2.885858,0.8974487,2.199347,-1.4607993,-1.5335152,-3.4632668,2.4300873,-1.0002792,-3.3311753,-0.6025934,0.5219462,-2.0142593,1.2168138,-1.8751202,3.3923519,0.28474337,2.182797,3.1738446,3.9980106,-1.284594,-1.2990932,-1.834378,4.299269,-2.8145661,3.7625515,3.9019814,1.7243322,3.7235165,-2.0277984
1049,2.2638984,-1.6155179,0.22213122,2.63636,0.61430085,1.9623495,-1.1569974,-1.357929,-2.926672,2.003491,-0.94467795,-3.1034565,-0.66863346,0.3828818,-1.7580621,1.2155024,-1.6043682,2.9910572,0.1667883,1.7290608,2.6252103,3.595327,-1.1295688,-1.1602683,-1.4773406,3.8616664,-2.7469957,3.3112786,3.4877887,1.5779035,3.3067696,-1.9386953
1050,2.242291,-1.5998245,0.22814007,2.6231594,0.5895647,1.9552653,-1.1452127,-1.3628356,-2.8959556,1.9814875,-0.9565425,-3.0979092,-0.67378426,0.36730677,-1.7453308,1.2168696,-1.5964127,2.9751496,0.15678,1.7077236,2.5925772,3.5761921,-1.1227752,-1.1623822,-1.4588584,3.8470616,-2.7559981,3.3011677,3.4692414,1.5635211,3.2895138,-1.9352297
1497,1.7563818,-1.6769707,0.87783176,1.9957078,0.73560345,0.94020283,-0.12145474,0.16415402,-1.838661,0.8470669,0.3934546,-1.9178734,-0.6672855,0.7449509,-1.0608666,1.1034176,-0.43093976,1.5935627,0.26814076,0.2893049,1.5280117,2.499848,-0.6194096,0.009314724,-0.5012833,2.0863047,-1.5947376,1.0974628,2.2589095,1.8095369,1.8741608,-1.7200868
4538,1.6315525,-1.5012991,0.7353824,1.9304787,0.55374753,1.006893,-0.22404023,-0.107708134,-1.7746931,0.9220139,0.109430805,-1.9350977,-0.6630031,0.5782439,-1.0322425,1.0588827,-0.52841634,1.6309265,0.15059991,0.4232079,1.4789416,2.4066653,-0.6832558,-0.19666326,-0.54456526,2.163279,-1.6471249,1.2889893,2.2043715,1.5516416,1.9214838,-1.5781891
16,1.6073154,-1.5884143,0.87941486,1.8186715,0.6709353,0.78777176,-0.015889913,0.27725238,-1.6614525,0.7448007,0.47568315,-1.6876819,-0.6314889,0.71884924,-0.895728,1.0088065,-0.2831137,1.3539071,0.22587013,0.1588651,1.3337651,2.2737288,-0.5910371,0.0711201,-0.3903966,1.7830629,-1.3496947,0.78382456,1.9712639,1.6626835,1.6357676,-1.5333202
