repetition,featureset,total_samples,correct_predictions,top_1_accuracy,majority_baseline
1,d2v,72,28,0.3888888888888889,0.3472222222222222
2,d2v,72,27,0.375,0.3472222222222222
3,d2v,72,28,0.3888888888888889,0.3472222222222222
4,d2v,72,28,0.3888888888888889,0.3472222222222222
5,d2v,72,27,0.375,0.3472222222222222
6,d2v,72,29,0.4027777777777778,0.3472222222222222
7,d2v,72,27,0.375,0.3472222222222222
8,d2v,72,28,0.3888888888888889,0.3472222222222222
9,d2v,72,26,0.3611111111111111,0.3472222222222222
10,d2v,72,25,0.3472222222222222,0.3472222222222222
1,traditional,72,33,0.4583333333333333,0.3472222222222222
2,traditional,72,34,0.4722222222222222,0.3472222222222222
3,traditional,72,35,0.4861111111111111,0.3472222222222222
4,traditional,72,34,0.4722222222222222,0.3472222222222222
5,traditional,72,33,0.4583333333333333,0.3472222222222222
6,traditional,72,35,0.4861111111111111,0.3472222222222222
7,traditional,72,35,0.4861111111111111,0.3472222222222222
8,traditional,72,38,0.5277777777777778,0.3472222222222222
9,traditional,72,34,0.4722222222222222,0.3472222222222222
10,traditional,72,33,0.4583333333333333,0.3472222222222222
1,hybrid,72,33,0.4583333333333333,0.3472222222222222
2,hybrid,72,36,0.5,0.3472222222222222
3,hybrid,72,39,0.5416666666666666,0.3472222222222222
4,hybrid,72,35,0.4861111111111111,0.3472222222222222
5,hybrid,72,32,0.4444444444444444,0.3472222222222222
6,hybrid,72,37,0.5138888888888888,0.3472222222222222
7,hybrid,72,35,0.4861111111111111,0.3472222222222222
8,hybrid,72,37,0.5138888888888888,0.3472222222222222
9,hybrid,72,34,0.4722222222222222,0.3472222222222222
10,hybrid,72,37,0.5138888888888888,0.3472222222222222
