repetition,mae,mse,r2
1,0.13286727627825534,0.033075944310467745,-0.28255663965918787
2,0.1338643977907541,0.033746310450931676,-0.30845004555589445
3,0.13070289149539857,0.03269397244255253,-0.26693412727409266
4,0.13161635360848692,0.03299949544358513,-0.28014757940808305
5,0.1346565838307447,0.0342969691296213,-0.3296951237375231
6,0.13022184948988294,0.032375486832014175,-0.25579323941706095
7,0.13094730726100975,0.0323170254568859,-0.25140603282092683
8,0.1322554475151741,0.03312096970771912,-0.28501066427417976
9,0.1319132433967368,0.03312997903919782,-0.2855922817255391
10,0.13316126188547164,0.033331398324323816,-0.29269485122484384
