repetition,algorithm,mae
1,random_forest,0.06311536984501677
1,support_vector_machine,0.0648001201503879
1,linear_models,0.0765200106556071
1,xgboost,0.08815362908558926
1,decision_tree,0.06736903918424798
2,random_forest,0.0644921322200333
2,support_vector_machine,0.0626832854909241
2,linear_models,0.07480753875099938
2,xgboost,0.08916024494092627
2,decision_tree,0.06753573857621799
3,random_forest,0.0634996603204828
3,support_vector_machine,0.06061749658653762
3,linear_models,0.07342242254871906
3,xgboost,0.08911706780789846
3,decision_tree,0.0679002718690336
4,random_forest,0.06189474625678296
4,support_vector_machine,0.058427176207141135
4,linear_models,0.07430626456938935
4,xgboost,0.09201869749521846
4,decision_tree,0.06918715063349459
5,random_forest,0.06313568077343407
5,support_vector_machine,0.06308612504103668
5,linear_models,0.0747749765997582
5,xgboost,0.09277169617906081
5,decision_tree,0.07059141578587735
6,random_forest,0.06389747153625486
6,support_vector_machine,0.06168255751979087
6,linear_models,0.07429382126740372
6,xgboost,0.09135473928703526
6,decision_tree,0.07058311734005046
7,random_forest,0.06407551428735972
7,support_vector_machine,0.06146275131883036
7,linear_models,0.07140977998207022
7,xgboost,0.08816243827020655
7,decision_tree,0.06679147268185272
8,random_forest,0.06291241635595766
8,support_vector_machine,0.0625980682842529
8,linear_models,0.07514047933496305
8,xgboost,0.08954879247181503
8,decision_tree,0.06801536561979013
9,random_forest,0.06304997477884346
9,support_vector_machine,0.06269009999821634
9,linear_models,0.07507250635066447
9,xgboost,0.08486607306189092
9,decision_tree,0.06823918446635394
10,random_forest,0.06368891285171932
10,support_vector_machine,0.062255498661021584
10,linear_models,0.07357468586397725
10,xgboost,0.0921504672483304
10,decision_tree,0.07079739832063242
