repetition,mae,mse,r2
1,0.07086529003594484,0.012808310498541368,0.5129492683091588
2,0.07098467262527565,0.012879870026293493,0.5091302235047397
3,0.06973280745775032,0.012718189231236248,0.5165884679604703
4,0.07074391526499918,0.013006912585537494,0.5062064959052288
5,0.07131861661818666,0.012803172044797303,0.5132850101924108
6,0.07236522193069245,0.013457260537952495,0.4892946071181864
7,0.07058055650596617,0.012738870279514657,0.5164612064430905
8,0.07148595175908504,0.013007500057677951,0.506604547836653
9,0.07022674430749906,0.012852078630278582,0.5114026777274958
10,0.07106089839980924,0.01302355247533154,0.5059905268802382
