run_id,task_id,setup_id,flow_id,uploader,task_type,upload_time,error_message
568722,9981,2367,1724,1,TaskType.SUPERVISED_CLASSIFICATION,2016-04-28 18:21:34,
568805,9981,2369,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-04-28 19:08:09,
568963,9981,2373,1730,1,TaskType.SUPERVISED_CLASSIFICATION,2016-04-28 21:30:05,
569060,9981,2381,1745,1,TaskType.SUPERVISED_CLASSIFICATION,2016-04-29 00:42:33,
569261,9981,2869,2228,1,TaskType.SUPERVISED_CLASSIFICATION,2016-04-29 14:11:59,
569350,9981,2888,1721,1,TaskType.SUPERVISED_CLASSIFICATION,2016-04-29 18:46:52,
569434,9981,2889,1721,1,TaskType.SUPERVISED_CLASSIFICATION,2016-04-29 19:18:58,
569514,9981,6035,3568,1,TaskType.SUPERVISED_CLASSIFICATION,2016-04-29 19:59:58,
569596,9981,6036,3569,1,TaskType.SUPERVISED_CLASSIFICATION,2016-04-30 00:53:51,
569687,9981,6037,3548,1,TaskType.SUPERVISED_CLASSIFICATION,2016-04-30 11:07:47,
569776,9981,6038,3570,1,TaskType.SUPERVISED_CLASSIFICATION,2016-04-30 16:56:20,
569857,9981,6039,3571,1,TaskType.SUPERVISED_CLASSIFICATION,2016-04-30 20:19:35,
570026,9981,6041,3568,1,TaskType.SUPERVISED_CLASSIFICATION,2016-05-01 05:03:20,
570110,9981,6042,3568,1,TaskType.SUPERVISED_CLASSIFICATION,2016-05-01 08:47:02,
570192,9981,5602,1721,1,TaskType.SUPERVISED_CLASSIFICATION,2016-05-01 10:28:18,
570275,9981,6043,3568,1,TaskType.SUPERVISED_CLASSIFICATION,2016-05-01 12:11:33,
570357,9981,5613,1820,1,TaskType.SUPERVISED_CLASSIFICATION,2016-05-01 19:08:12,
570439,9981,5614,2267,1,TaskType.SUPERVISED_CLASSIFICATION,2016-05-01 21:31:36,
570485,9981,6045,3561,1,TaskType.SUPERVISED_CLASSIFICATION,2016-05-02 16:20:06,
570880,9981,6049,3554,1,TaskType.SUPERVISED_CLASSIFICATION,2016-05-03 11:10:09,
594455,9981,6410,4028,1,TaskType.SUPERVISED_CLASSIFICATION,2016-06-18 08:17:16,
1573607,9981,2381,1745,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-18 18:30:09,
1608007,9981,2903,2267,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 01:54:08,
1609044,9981,2361,1719,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 02:14:55,
1617461,9981,2371,1728,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 04:42:47,
1639566,9981,2381,1745,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 10:38:11,
1642354,9981,2903,2267,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 11:16:23,
1643458,9981,2361,1719,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 11:30:01,
1645535,9981,2371,1728,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 11:59:33,
1657437,9981,2367,1724,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 15:55:34,
1662761,9981,2360,1718,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 17:47:12,
1662892,9981,2368,1725,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 17:49:34,
1663968,9981,2489,1880,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 18:45:40,
1664096,9981,2505,1789,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 18:49:02,
1664119,9981,2370,1727,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 18:50:41,
1664388,9981,2660,2034,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 19:00:37,
1664425,9981,2656,2032,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 19:05:26,
1664515,9981,2874,2236,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 19:10:50,
1664660,9981,6352,3905,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 19:19:30,
1664883,9981,2881,2244,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 20:17:08,
1664971,9981,2882,2230,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 20:37:41,
1665169,9981,2887,2247,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 21:22:37,
1665292,9981,2890,2254,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 22:00:17,
1665390,9981,2891,2255,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 22:20:30,
1665496,9981,2892,2256,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 22:57:28,
1665571,9981,2893,2257,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-19 23:22:17,
1665664,9981,2894,2258,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 00:04:52,
1665844,9981,6250,3903,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 04:35:22,
1665918,9981,2897,2261,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 04:58:21,
1666113,9981,2899,2263,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 10:15:05,
1666214,9981,2900,2264,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 12:58:14,
1666322,9981,2906,2058,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 14:01:26,
1666399,9981,2907,2269,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 14:23:47,
1668477,9981,2908,2136,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 16:45:37,
1669317,9981,2909,2270,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 17:50:00,
1669434,9981,2911,2272,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 18:08:51,
1672059,9981,2912,2096,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 20:03:59,
1672173,9981,2917,2250,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 20:39:43,
1672292,9981,2918,2278,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 21:14:02,
1672390,9981,2925,2140,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 21:33:21,
1672487,9981,2926,2283,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 22:18:06,
1672596,9981,3193,2459,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-20 23:14:35,
1672718,9981,3595,2763,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-21 04:12:52,
1672797,9981,3714,2791,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-21 14:03:49,
1672978,9981,5608,2277,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-21 14:54:58,
1673147,9981,6301,3564,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-21 15:53:19,
1673210,9981,8941,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-21 16:03:41,
1673284,9981,6353,3910,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-21 16:38:36,
1673488,9981,8958,1720,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-22 03:55:28,
1673624,9981,6354,3914,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-22 08:30:55,
1673658,9981,6355,3916,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-22 08:45:43,
1673744,9981,6356,3918,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-22 09:09:22,
1673840,9981,6357,3920,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-22 09:21:40,
1673955,9981,8959,1720,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-22 10:33:41,
1674054,9981,6358,3448,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-22 11:45:46,
1681210,9981,8960,1720,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-22 16:47:53,
1686651,9981,6252,3558,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-22 21:11:24,
1687572,9981,8961,1720,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-22 22:31:20,
1687721,9981,8962,1720,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-23 03:47:22,
1687867,9981,8963,1720,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-23 08:18:42,
1687943,9981,6360,3934,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-23 09:53:47,
1688012,9981,8964,1720,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-23 12:17:34,
1688166,9981,8965,1720,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-23 15:42:06,
1688291,9981,6364,3939,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-23 16:48:33,
1688350,9981,6366,3935,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-23 16:58:41,
1688408,9981,8981,2254,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-23 17:14:21,
1690209,9981,6371,3947,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-23 18:24:19,
1690301,9981,8966,1720,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-23 18:29:20,
1695621,9981,8967,1720,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-23 20:45:35,
1701267,9981,8968,1720,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-23 22:54:52,
1709104,9981,8969,1720,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-24 00:44:35,
1715585,9981,8970,1720,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-24 02:27:25,
1722627,9981,8945,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-24 04:23:27,
1729876,9981,8946,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-24 06:43:15,
1733323,9981,6372,3949,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-24 08:45:44,
1734175,9981,8947,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-24 09:14:46,
1738631,9981,8948,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-24 12:11:45,
1741808,9981,6373,3951,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-24 14:25:46,
1742948,9981,6374,2072,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-24 15:09:01,
1744232,9981,8949,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-24 15:48:46,
1756589,9981,8950,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-24 21:32:43,
1761265,9981,6376,2151,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-24 23:48:02,
1761669,9981,6377,2070,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-24 23:53:02,
1761980,9981,6375,3960,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-25 00:02:49,
1762116,9981,6378,2074,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-25 00:04:29,
1762788,9981,6379,2010,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-25 00:20:22,
1780155,9981,8951,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-25 12:20:04,
1780618,9981,8952,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-25 12:33:49,
1781188,9981,8953,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-25 12:53:08,
1781758,9981,8983,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-25 13:10:22,
1781817,9981,8954,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-25 13:14:01,
1782371,9981,8955,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-25 13:35:03,
1783035,9981,8956,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-25 14:03:17,
1783888,9981,8957,1726,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-25 14:36:27,
1785525,9981,8984,4289,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-25 15:49:35,
1795470,9981,8982,4283,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-25 23:30:06,
1810108,9981,2898,2262,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-27 07:55:17,
1810162,9981,2901,2265,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-27 14:29:46,
1810308,9981,2904,2268,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-27 20:11:45,
1810403,9981,2905,2094,1,TaskType.SUPERVISED_CLASSIFICATION,2016-07-27 22:58:00,
1810910,9981,8989,3554,1,TaskType.SUPERVISED_CLASSIFICATION,2016-08-04 18:30:30,
1811032,9981,8990,1820,1,TaskType.SUPERVISED_CLASSIFICATION,2016-08-05 08:12:33,
1814756,9981,8994,1820,1,TaskType.SUPERVISED_CLASSIFICATION,2016-09-04 19:23:18,
1815074,9981,6388,3985,1,TaskType.SUPERVISED_CLASSIFICATION,2016-09-08 17:19:59,
1815788,9981,6389,3957,1,TaskType.SUPERVISED_CLASSIFICATION,2016-09-09 16:39:04,
1815941,9981,6390,3971,1,TaskType.SUPERVISED_CLASSIFICATION,2016-09-09 19:58:26,
1816037,9981,6391,3963,1,TaskType.SUPERVISED_CLASSIFICATION,2016-09-09 21:36:25,
1816329,9981,6404,4016,1,TaskType.SUPERVISED_CLASSIFICATION,2016-09-20 20:17:02,
1816330,9981,6404,4016,1,TaskType.SUPERVISED_CLASSIFICATION,2016-09-20 21:22:33,
1832706,9981,8995,1820,1,TaskType.SUPERVISED_CLASSIFICATION,2016-10-13 19:33:29,
3809454,9981,1847188,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 15:57:37,
3809476,9981,1847210,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 15:57:50,
3809723,9981,1847457,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 15:59:31,
3811094,9981,1848812,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 16:09:48,
3811421,9981,1849134,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 16:12:07,
3812961,9981,1850645,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 16:23:37,
3816004,9981,1853624,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 16:48:27,
3818869,9981,1856446,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 17:12:24,
3819073,9981,1856649,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 17:14:22,
3830347,9981,1867840,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 18:53:25,
3830631,9981,1868121,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 18:55:03,
3831186,9981,1868670,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 18:58:36,
3833845,9981,1871298,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 19:19:04,
3836324,9981,1873736,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 19:42:11,
3847177,9981,1884384,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 21:28:26,
3848764,9981,1885950,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 21:39:22,
3849554,9981,1886729,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 21:44:39,
3850609,9981,1887774,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 21:52:15,
3852530,9981,1889667,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 22:05:44,
3852667,9981,1889804,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 22:06:40,
3852880,9981,1890016,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 22:08:14,
3853232,9981,1890365,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 22:10:36,
3853665,9981,1890796,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 22:13:42,
3853749,9981,1890878,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 22:14:21,
3853922,9981,1891051,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 22:15:22,
3855359,9981,1892474,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 22:26:22,
3855546,9981,1892659,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 22:27:52,
3858699,9981,1895796,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 22:50:01,
3860432,9981,1897508,6840,1,TaskType.SUPERVISED_CLASSIFICATION,2017-07-03 23:02:25,
