run_id,task_id,setup_id,flow_id,uploader,task_type,upload_time,error_message
2494795,3917,544174,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 04:14:01,
2291692,3917,381637,5970,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-05-20 23:37:49,
2477934,3917,527313,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 02:09:30,
5233763,3917,3268683,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-10 08:49:21,
5649659,3917,3684415,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-12 19:38:28,
5648581,3917,3683337,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-12 19:30:57,
2517193,3917,566572,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 07:00:12,
2513516,3917,562895,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 06:32:48,
10493126,3917,8275618,18601,8323,TaskType.SUPERVISED_CLASSIFICATION,2020-08-04 18:22:34,
1854749,3917,32069,5860,903,TaskType.SUPERVISED_CLASSIFICATION,2017-03-27 12:18:22,
5232949,3917,3267870,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-10 08:43:10,
2328115,3917,409824,5970,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-05-23 04:43:31,
2473488,3917,522867,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 01:36:40,
2472598,3917,521977,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 01:28:57,
2481297,3917,530676,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 02:33:57,
2487722,3917,537101,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 03:21:28,
2489323,3917,538702,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 03:33:34,
5650323,3917,3685079,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-12 19:42:55,
2327904,3917,409613,5970,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-05-23 04:42:09,
2474834,3917,524213,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 01:46:25,
10510774,3917,8275615,18601,8323,TaskType.SUPERVISED_CLASSIFICATION,2020-08-05 12:54:07,
2491839,3917,541218,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 03:52:14,
10487175,3917,8275614,18601,8323,TaskType.SUPERVISED_CLASSIFICATION,2020-08-04 15:28:23,
2525524,3917,574903,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 08:02:41,
2510631,3917,560010,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 06:11:11,
2487017,3917,536396,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 03:16:07,
5235936,3917,3270851,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-10 09:05:20,
10510729,3917,8275618,18601,8323,TaskType.SUPERVISED_CLASSIFICATION,2020-08-05 12:52:46,
2522745,3917,572124,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 07:41:39,
2291699,3917,381643,5970,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-05-20 23:38:34,
2507238,3917,556617,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 05:45:52,
2494878,3917,544257,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 04:14:37,
2471932,3917,521311,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 01:22:15,
5233038,3917,3267959,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-10 08:43:56,
5468559,3917,3503356,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-11 17:41:36,
2516785,3917,566164,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 06:56:58,
4434656,3917,2470793,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-06 07:03:43,
5648284,3917,3683040,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-12 19:28:47,
4516620,3917,2552738,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-06 17:21:56,
5473444,3917,3508241,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-11 18:15:48,
2502949,3917,552328,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 05:14:23,
10492934,3917,8275628,18601,8323,TaskType.SUPERVISED_CLASSIFICATION,2020-08-04 18:18:48,
5235543,3917,3270458,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-10 09:02:21,
2472213,3917,521592,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 01:25:17,
5233378,3917,3268299,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-10 08:46:27,
5234471,3917,3269390,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-10 08:54:18,
2478752,3917,528131,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 02:15:26,
2328233,3917,409942,5970,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-05-23 04:44:19,
2483750,3917,533129,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-06-24 02:52:02,
5650215,3917,3684971,6766,2702,TaskType.SUPERVISED_CLASSIFICATION,2017-07-12 19:42:13,
