run_id,task_id,setup_id,flow_id,uploader,task_type,upload_time,error_message
10417037,146821,8254285,17319,1140,TaskType.SUPERVISED_CLASSIFICATION,2019-10-15 12:45:36,
10453773,146821,8265596,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:24:35,
10229231,146821,8154259,13295,8637,TaskType.SUPERVISED_CLASSIFICATION,2019-07-12 16:28:54,
9199836,146821,7130139,8455,1,TaskType.SUPERVISED_CLASSIFICATION,2018-05-03 22:39:37,
10453664,146821,8265487,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:11:07,
10453769,146821,8265592,17718,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:23:46,
10453641,146821,8265464,17718,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:08:05,
10453555,146821,8265378,17718,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 21:55:48,
10453791,146821,8265614,17722,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:27:03,
10453775,146821,8265598,17722,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:24:46,
10453661,146821,8265484,17722,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:10:20,
10453691,146821,8265514,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:14:19,
10453713,146821,8265536,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:16:39,
10453580,146821,8265403,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 21:59:23,
10228679,146821,8153841,12738,8637,TaskType.SUPERVISED_CLASSIFICATION,2019-06-16 18:30:57,
10453608,146821,8265431,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:03:43,
10417082,146821,8254330,17319,1140,TaskType.SUPERVISED_CLASSIFICATION,2019-10-15 13:05:22,
10453656,146821,8265479,17722,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:09:32,
10453753,146821,8265576,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:22:45,
10453785,146821,8265608,17722,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:26:25,
10453681,146821,8265504,17718,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:13:49,
10453686,146821,8265509,17722,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:14:07,
10453573,146821,8265396,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 21:58:28,
10453701,146821,8265524,17718,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:15:32,
10453702,146821,8265525,17718,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:15:35,
10453648,146821,8265471,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:08:56,
10452609,146821,8264954,17607,2902,TaskType.SUPERVISED_CLASSIFICATION,2020-04-27 17:09:30,
10453758,146821,8265581,17722,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:23:04,
10453705,146821,8265528,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:15:48,
10453652,146821,8265475,17718,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:09:12,
10453729,146821,8265552,17718,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:20:16,
10453721,146821,8265544,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:18:21,
10453581,146821,8265404,17722,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 21:59:26,
10453771,146821,8265594,17722,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:24:05,
10453633,146821,8265456,17718,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:07:16,
10453810,146821,8265633,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:30:35,
10453562,146821,8265385,17718,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 21:57:34,
10453742,146821,8265565,17722,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:21:30,
10560771,146821,8277066,18995,869,TaskType.SUPERVISED_CLASSIFICATION,2021-08-26 15:55:40,
10453575,146821,8265398,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 21:58:56,
10453679,146821,8265502,17718,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:13:41,
10434893,146821,8258949,17456,6127,TaskType.SUPERVISED_CLASSIFICATION,2019-12-23 23:54:27,
10453801,146821,8265624,17718,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:28:50,
10452593,146821,8264953,17607,2902,TaskType.SUPERVISED_CLASSIFICATION,2020-04-27 13:46:47,
10453668,146821,8265491,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:11:44,
10453790,146821,8265613,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:27:01,
10453749,146821,8265572,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:22:20,
10453704,146821,8265527,17716,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:15:46,
10453805,146821,8265628,17722,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 22:29:42,
10453572,146821,8265395,17722,12269,TaskType.SUPERVISED_CLASSIFICATION,2020-05-18 21:58:26,
