run_id,task_id,setup_id,flow_id,uploader,task_type,upload_time,error_message
9148512,146822,7081012,8353,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-15 06:05:22,
9146084,146822,7078603,8353,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-15 05:37:18,
8960352,146822,6895954,8317,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-07 00:31:52,
9146999,146822,7079510,8353,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-15 05:47:46,
10355421,146822,8210906,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-21 15:49:15,
10375537,146822,8230873,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-24 16:22:32,
9147865,146822,7080371,8353,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-15 05:57:50,
10375390,146822,8230728,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-24 16:07:01,
9147355,146822,7079864,8353,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-15 05:51:49,
9148838,146822,7081337,8353,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-15 06:09:33,
8960334,146822,6895936,8317,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-07 00:30:55,
10334206,146822,8189763,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-20 13:49:04,
8960600,146822,6896202,8317,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-07 00:44:50,
10353114,146822,8208604,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-21 14:24:19,
9145702,146822,7078223,8353,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-15 05:32:56,
10322921,146822,8178617,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-18 20:32:07,
10427328,146822,8255934,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-12-06 02:03:20,
10382615,146822,8232169,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-25 18:53:12,
9145749,146822,7078270,8353,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-15 05:33:28,
10376685,146822,8231594,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-25 16:55:30,
8961185,146822,6896787,8317,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-07 01:16:05,
9147072,146822,7079583,8353,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-15 05:48:42,
10376727,146822,8231620,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-25 16:56:11,
8960326,146822,6895928,8317,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-07 00:30:31,
10354434,146822,8209921,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-21 15:37:10,
10383015,146822,8232239,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-25 18:58:35,
10323039,146822,8178734,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-18 20:55:18,
8960579,146822,6896181,8317,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-07 00:43:38,
8960726,146822,6896328,8317,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-07 00:51:26,
10352951,146822,8208441,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-21 14:00:15,
9146159,146822,7078678,8353,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-15 05:38:04,
9145660,146822,7078181,8353,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-15 05:32:29,
10375393,146822,8230731,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-24 16:07:24,
8961119,146822,6896721,8317,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-07 01:12:25,
10322293,146822,8177991,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-18 19:59:21,
8960035,146822,6895637,8317,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-07 00:15:32,
10352964,146822,8208454,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-21 14:01:24,
10419883,146822,8255834,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-12-03 22:51:41,
10419318,146822,8255566,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-12-03 22:34:00,
10420920,146822,8255778,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-12-03 23:38:54,
8960071,146822,6895673,8317,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-07 00:17:21,
10353006,146822,8208496,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-21 14:06:02,
9199475,146822,7129940,8399,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-28 02:09:19,
9146581,146822,7079094,8353,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-15 05:42:56,
10375632,146822,8230967,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-24 16:54:57,
10323037,146822,8178732,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-18 20:55:12,
9145159,146822,7077684,8353,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-15 05:26:48,
8960140,146822,6895742,8317,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-07 00:20:45,
9148509,146822,7081009,8353,1935,TaskType.SUPERVISED_CLASSIFICATION,2018-04-15 06:05:21,
10334005,146822,8189564,16345,8323,TaskType.SUPERVISED_CLASSIFICATION,2019-08-20 13:37:07,
